Polymer Number,Reaction number,Polymer solubility in dichloro methane at a concentration of 40 mg/mL at room temperature,Physical state of the polymer determined by visual observation and polarized microscope analysis,Degradable,Monomer 1,Monomer 1 SMILES,Monomer 2,Monomer 2 SMILES,SMILES,Mn (kDa),Mw (kDa),D,"Monomer 1:
Monomer 2 (mole basis)",BigSMILES,Method Key
27,27,yes,fluid,yes,Diglycolyl Chloride,[Cl]C(=O)COCC(=O)[Cl],"4,4_-(alpha- Methylbenzylidene)bisphenol",Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,C(=O)COC(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,4.43,5.26,1.19,1:01,"{[][<]C(=O)COC(=O)[<],[>]Oc1ccc(cc1)C(C)(c
2ccccc2)c3ccc(cc3)O[>][]}",M32
28,28,no,solid,no,Oxalyl Chloride,[Cl]C(=O)C(=O)[Cl],"1,3-Bis[2-(4-
hydroxyphenyl)- 2-propyl]benzene",Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,C(=O)C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O,,,,1:01,"{[][<]C(=O)C(=O)[<],[>]Oc1ccc(cc1)C(C)(C)c
2ccc(cc2)C(C)(C)c3ccc(cc3)O[>][]}",M32
29,29,yes,fluid,no,Diglycolyl Chloride,[Cl]C(=O)COCC(=O)[Cl],"4,4' - Cycloehexylidenebisphenol","Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1

",Oc1ccc(C2(c3ccc(OC(=O)COCC(=O))cc3)CCCCC2)cc1,3.64,4.34,1.19,1:01,"{[][<]C(=O)COC(=O)[<],[>]Oc1ccc(cc1)C2(C CCCC2)c3cc(cc3)O[>][]}",M32
30,30,no,solid,no,Phthaloyl Chloride,[Cl]C(=O)c(cccc1)c1C(=O)[Cl],"Naphthalene-1,5- diol",Oc1c(ccc2)c(ccc1)c2O,C(=O)c(cccc1)c1C(=O)Oc1c(ccc2)c(ccc1)c2O,,,,1:01,"{[][<]C(=O)c(cccc1)c1C(=O)[<],[>]Oc1c(ccc2)
c(ccc1)c2O[>][]}",M32
31,31,no,solid,no,Phthaloyl Chloride,[Cl]C(=O)c(cccc1)c1C(=O)[Cl],"2,7-
Naphthalenediol",Oc1cc2c(cc1)ccc(c2)O,C(=O)c(cccc1)c1C(=O)Oc1cc2c(cc1)ccc(c2)O,,,,1:01,"{[][<]C(=O)c(cccc1)c1C(=O)[<],[>]Oc1cc2c(cc 1)ccc(c2)O[>][]}",M32
32,32,yes,crystalline,no,Phthaloyl Chloride,[Cl]C(=O)c(cccc1)c1C(=O)[Cl],Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)c(cccc1)c1C(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,0.78,1.05,1.34,1:01,"{[][<]C(=O)c(cccc1)c1C(=O)[<],[>]Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O[>][]}",M32
33,33,yes,fluid,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],Bisphenol A,Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,C(=O)CCCCCCCCC(=O)Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,5.54,5.94,1.07,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]Oc1ccc(c
c1)C(C)(C)c2ccc(cc2)O[>][]}",M32
34,34,yes,fluid,no,Diglycolyl Chloride,[Cl]C(=O)COCC(=O)[Cl],"4,4_-(9-Fluorenylidene)diphenol",C1(c4ccc(O)cc4)(c5ccc(O)cc5)c2ccccc2c3ccccc31,C1(c4ccc(O)cc4)(c5ccc(OC(=O)COCC(=O))cc5)c2ccccc2c3ccccc31,0.74,0.89,1.2,1:01,"{[][<]C(=O)COC(=O)[<],[>]Oc1ccc(cc1)C2(c3
ccccc3c4c2ccccc4)c5ccc(cc5)O[>][]}",M32
35,35,no,solid,yes,Diglycolyl Chloride,[Cl]C(=O)COCC(=O)[Cl],"4,4_-Thiodiphenol",Oc1ccc(cc1)Sc2ccc(cc2)O,C(=O)COC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O,5.74,6.16,1.07,1:01,"{[][<]C(=O)COC(=O)[<],[>]Oc1ccc(cc1)Sc2cc c(cc2)O[>][]}",M32
36,36,yes,glassy,no,Diglycolyl Chloride,[Cl]C(=O)COCC(=O)[Cl],"2,2_-
Thiodiethanol",OCCSCCO,C(=O)COC(=O)OCCSCCO,0.9,1.47,1.64,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCCSCCO[>][]}",M32
37,37,no,solid,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"4,4'-
Dihydroxydiphenylmethane",Oc1ccc(cc1)Cc2ccc(cc2)O,C(=O)CCCCCCCCC(=O)Oc1ccc(cc1)Cc2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]Oc1ccc(c
c1)Cc2ccc(cc2)O[>][]}",M32
38,38,no,solid,no,Oxalyl Chloride,[Cl]C(=O)C(=O)[Cl],"4,4_-(alpha- Methylbenzylidene)bisphenol",Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,C(=O)C(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,4.3,3.11,2.12,1:01,"{[][<]C(=O)C(=O)[<],[>]Oc1ccc(cc1)C(C)(c2c
cccc2)c3ccc(cc3)O[>][]}",M32
39,39,yes,fluid,no,Diglycolyl Chloride,[Cl]C(=O)COCC(=O)[Cl],"(R)-(+)-1,1_-
Binaphthyl-2,2_- diol",Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O,C(=O)COC(=O)Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O,,,,1:01,"{[][<]C(=O)COC(=O)[<],[>]Oc1ccc(cccc2)c2c
1c3c(cccc4)c4ccc3O[>][]}",M32
40,40,yes,crystalline,no,Diglycolyl Chloride,[Cl]C(=O)COCC(=O)[Cl],"cis-2-Butene-1,4- diol",OC/C=C\CO,C(=O)COC(=O)OC/C=C/CO,10.33,13,1.26,1:01,"{[][<]C(=O)COC(=O)[<],[>]OC/C=C/CO[>][]}",M32
41,41,no,solid,no,Diglycolyl Chloride,[Cl]C(=O)COCC(=O)[Cl],"Naphthalene-1,5- diol",Oc1c(ccc2)c(ccc1)c2O,C(=O)COC(=O)Oc1c(ccc2)c(ccc1)c2O,,,,1:01,"{[][<]C(=O)COC(=O)[<],[>]Oc1c(ccc2)c(ccc1) c2O[>][]}",M32
42,42,no,solid,no,Diglycolyl Chloride,[Cl]C(=O)COCC(=O)[Cl],"2,7-
Naphthalenediol",Oc1cc2c(cc1)ccc(c2)O,C(=O)COC(=O)Oc1cc2c(cc1)ccc(c2)O,,,,1:01,"{[][<]C(=O)COC(=O)[<],[>]Oc1cc2c(cc1)ccc(c 2)O[>][]}",M32
43,43,yes,fluid,no,Diglycolyl Chloride,[Cl]C(=O)COCC(=O)[Cl],2-Hydroxyethyl disulfide,OCCSSCCO,C(=O)COC(=O)OCCSSCCO,6.28,7.8,1.24,1:01,"{[][<]C(=O)COC(=O)[<],[>]OCCSSCCO[>][]}",M32
44,44,yes,crystalline,no,Oxalyl Chloride,[Cl]C(=O)C(=O)[Cl],"4,4_- Isopropylidenedicyclohexanol, mixture of isomers",OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,C(=O)C(=O)OC(CC1)CCC1C(C)(C)C(CC2)CCC2O,,,,1:01,"{[][<]C(=O)C(=O)[<],[>]OC(CC1)CCC1C(C)( C)C(CC2)CCC2O[>][]}",M32
45,45,no,solid,no,Oxalyl Chloride,[Cl]C(=O)C(=O)[Cl],"1,4-dithiane-2,5- diol",OC(CS1)SCC1O,C(=O)C(=O)OC(CS1)SCC1O,,,,1:01,"{[][<]C(=O)C(=O)[<],[>]OC(CS1)SCC1O[>][]}",M32
46,46,no,solid,yes,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"4,4_-Thiodiphenol",Oc1ccc(cc1)Sc2ccc(cc2)O,C(=O)CCCCCCCCC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]Oc1ccc(c
c1)Sc2ccc(cc2)O[>][]}",M32
47,47,no,solid,yes,Oxalyl Chloride,[Cl]C(=O)C(=O)[Cl],"2,5-
hexanediol(+isomers)",OC(C)CCC(C)O,C(=O)C(=O)OC(C)CCC(C)O,,,,1:01,"{[][<]C(=O)C(=O)[<],[>]OC(C)CCC(C)O[>][]}",M32
48,48,yes,crystalline,no,Oxalyl Chloride,[Cl]C(=O)C(=O)[Cl],"1,8-octanediol",OCCCCCCCCO,C(=O)C(=O)OCCCCCCCCO,,,,1:01,"{[][<]C(=O)C(=O)[<],[>]OCCCCCCCCO[>][]}",M32
49,49,yes,crystalline,no,Oxalyl Chloride,[Cl]C(=O)C(=O)[Cl],"1,10-decanediol",OCCCCCCCCCCO,C(=O)C(=O)OCCCCCCCCCCO,,,,1:01,"{[][<]C(=O)C(=O)[<],[>]OCCCCCCCCCCO[>] []}",M32
50,50,no,solid,no,Oxalyl Chloride,[Cl]C(=O)C(=O)[Cl],"2,2-diethyl-1,3- propanediol",OCC(CC)(CC)CO,C(=O)C(=O)OCC(CC)(CC)CO,,,,,"{[][<]C(=O)C(=O)[<],[>]OCC(CC)(CC)CO[>][]}",M32
51,51,no,solid,no,Oxalyl Chloride,[Cl]C(=O)C(=O)[Cl],"4,8-Bis(hydroxymethyl)tricyclo[5.2.1.0 2,6]decane",OCC(CC(C1)C2C3)C1C2CC3CO,C(=O)C(=O)OCC(CC(C1)C2C3)C1C2CC3CO,,,,,"{[][<]C(=O)C(=O)[<],[>]OCC(CC(C1)C2C3)C 1C2CC3CO[>][]}",M32
52,52,no,solid,yes,Malonyl Chloride,[Cl]C(=O)CC(=O)[Cl],"4,4'-
Dihydroxydiphenylmethane",Oc1ccc(cc1)Cc2ccc(cc2)O,C(=O)CC(=O)Oc1ccc(cc1)Cc2ccc(cc2)O,,,,,"{[][<]C(=O)CC(=O)[<],[>]Oc1ccc(cc1)Cc2ccc( cc2)O[>][]}",M32
53,53,no,solid,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"2,2_-
Thiodiethanol",OCCSCCO,C(=O)CCCCCCCCC(=O)OCCSCCO,,,,,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]OCCSC CO[>][]}",M32
54,54,no,solid,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"1,4-dithiane-2,5- diol",OC(CS1)SCC1O,C(=O)CCCCCCCCC(=O)OC(CS1)SCC1O,,,,,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]OC(CS1) SCC1O[>][]}",M32
55,55,no,solid,no,Oxalyl Chloride,[Cl]C(=O)C(=O)[Cl],"2,7-
Naphthalenediol",Oc1cc2c(cc1)ccc(c2)O,C(=O)C(=O)Oc1cc2c(cc1)ccc(c2)O,,,,1:01,"{[][<]C(=O)C(=O)[<],[>]Oc1cc2c(cc1)ccc(c2) O[>][]}",M32
56,56,yes,crystalline,yes,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],"cis-2-Butene-1,4- diol",OC/C=C\CO,C(=O)CCCCCCCCC(=O)OC/C=C/CO,,,,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]OC/C=C/ CO[>][]}",M32
57,57,no,solid,no,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],"4,4_-(alpha- Methylbenzylidene)bisphenol",Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,C(=O)CCC(=O)Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]Oc1ccc(cc1C(C)(c2ccccc2)c3ccc(cc3O[>][]}",M32
58,58,no,solid,no,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],Bis(4-hydroxyphenyl) Sulfone,Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,C(=O)CCC(=O)Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]Oc1ccc(cc1)S(=O) (=O)c2ccc(cc2)O[>][]}",M32
59,59,yes,glassy,yes,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],"4,4' - Cycloehexylidenebisphenol","Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1

",Oc1ccc(C2(c3ccc(OC(=O)CCC(=O))cc3)CCCCC2)cc1,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]Oc1ccc(cc1)C2(C CCCC2)c3cc(cc3)O[>][]}",M32
60,60,yes,crystalline,yes,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],"4,4_-Isopropylidenebis (2,6-dimethylphenol)",Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O,C(=O)CCC(=O)Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]Oc1c(C)cc(cc1(C))
C(C)(C)c2cc(C)c(c(C)c2)O[>][]}",M32
61,61,no,solid,yes,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],"4,4_-Thiodiphenol",Oc1ccc(cc1)Sc2ccc(cc2)O,C(=O)CCC(=O)Oc1ccc(cc1)Sc2ccc(cc2)O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]Oc1ccc(cc1)Sc2cc c(cc2)O[>][]}",M32
62,62,yes,crystalline,no,Sebacoyl Chloride,[Cl]C(=O)CCCCCCCCC(=O)[Cl],Resorcinol,Oc1cccc(c1)O,C(=O)CCCCCCCCC(=O)Oc1cccc(c1)O,,,,1:01,"{[][<]C(=O)CCCCCCCCC(=O)[<],[>]Oc1cccc(c1)O[>][]}",M32
63,63,yes,glassy,no,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],"Biphenyl-2,2_-diol",Oc(cccc1)c1c2c(cccc2)O,C(=O)CCC(=O)Oc(cccc1)c1c2c(cccc2)O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]Oc(cccc1)c1c2c(cc cc2)O[>][]}",M32
64,64,yes,crystalline,yes,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],"4,4_-Sulfonylbis(2-methylphenol)",Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O,C(=O)CCC(=O)Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]Oc1c(C)cc(cc1)S(= O)(=O)c2ccc(c(C)c2)O[>][]}",M32
65,65,yes,crystalline,no,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],"(R)-(+)-1,1_-
Binaphthyl-2,2_- diol",Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O,C(=O)CCC(=O)Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]Oc1ccc(cccc2)c2c
1c3c(cccc4)c4ccc3O[>][]}",M32
66,66,no,solid,no,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],"2-Butyne-1,4-diol",OCC#CCO,C(=O)CCC(=O)OCC#CCO,10.32,20.63,2,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OCC#CCO[>][]}",M32
67,67,yes,glassy,no,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],"1,2:5,6-Dianhydro-d-glucitol",OC(C1CO1)C(C2CO2)O,C(=O)CCC(=O)OC(C1CO1)C(C2CO2)O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OC(C1CO1)C(C2C O2)O[>][]}",M32
68,68,no,solid,no,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],"cis-2-Butene-1,4- diol",OC/C=C\CO,C(=O)CCC(=O)OC/C=C/CO,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]OC/C=C/CO[>][]}",M32
69,69,no,solid,no,Succinyl Chloride,[Cl]C(=O)CCC(=O)[Cl],"Naphthalene-1,5- diol",Oc1c(ccc2)c(ccc1)c2O,C(=O)CCC(=O)Oc1c(ccc2)c(ccc1)c2O,,,,1:01,"{[][<]C(=O)CCC(=O)[<],[>]Oc1c(ccc2)c(ccc1) c2O[>][]}",M32
